condition_id,condition_name,parent_field,parent_record,values_raw,programs_in_scope,condition_group_size
COND::AUD-TRANSACTION::AUD-TYPE,AUD-TRANSACTION,AUD-TYPE,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-USER-ACTION::AUD-TYPE,AUD-USER-ACTION,AUD-TYPE,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-SYSTEM-EVENT::AUD-TYPE,AUD-SYSTEM-EVENT,AUD-TYPE,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-CREATE::AUD-ACTION,AUD-CREATE,AUD-ACTION,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-UPDATE::AUD-ACTION,AUD-UPDATE,AUD-ACTION,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-DELETE::AUD-ACTION,AUD-DELETE,AUD-ACTION,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-INQUIRE::AUD-ACTION,AUD-INQUIRE,AUD-ACTION,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-LOGIN::AUD-ACTION,AUD-LOGIN,AUD-ACTION,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-LOGOUT::AUD-ACTION,AUD-LOGOUT,AUD-ACTION,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-STARTUP::AUD-ACTION,AUD-STARTUP,AUD-ACTION,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-SHUTDOWN::AUD-ACTION,AUD-SHUTDOWN,AUD-ACTION,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-SUCCESS::AUD-STATUS,AUD-SUCCESS,AUD-STATUS,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-FAILURE::AUD-STATUS,AUD-FAILURE,AUD-STATUS,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::AUD-WARNING::AUD-STATUS,AUD-WARNING,AUD-STATUS,REC-AUDITLOG-AUDIT-RECORD,[],AUDPROC,1
COND::BCT-STATUS-READY::BCT-STATUS,BCT-STATUS-READY,BCT-STATUS,REC-BCHCTL-BATCH-CONTROL-RECORD,[],BCHCTL00|CKPRST|HISTLD00|PRCSEQ00|RCVPRC00,1
COND::BCT-STATUS-ACTIVE::BCT-STATUS,BCT-STATUS-ACTIVE,BCT-STATUS,REC-BCHCTL-BATCH-CONTROL-RECORD,[],BCHCTL00|CKPRST|HISTLD00|PRCSEQ00|RCVPRC00,1
COND::BCT-STATUS-WAITING::BCT-STATUS,BCT-STATUS-WAITING,BCT-STATUS,REC-BCHCTL-BATCH-CONTROL-RECORD,[],BCHCTL00|CKPRST|HISTLD00|PRCSEQ00|RCVPRC00,1
COND::BCT-STATUS-DONE::BCT-STATUS,BCT-STATUS-DONE,BCT-STATUS,REC-BCHCTL-BATCH-CONTROL-RECORD,[],BCHCTL00|CKPRST|HISTLD00|PRCSEQ00|RCVPRC00,1
COND::BCT-STATUS-ERROR::BCT-STATUS,BCT-STATUS-ERROR,BCT-STATUS,REC-BCHCTL-BATCH-CONTROL-RECORD,[],BCHCTL00|CKPRST|HISTLD00|PRCSEQ00|RCVPRC00,1
COND::CK-INITIAL::CK-STATUS,CK-INITIAL,CK-STATUS,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-ACTIVE::CK-STATUS,CK-ACTIVE,CK-STATUS,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-COMPLETE::CK-STATUS,CK-COMPLETE,CK-STATUS,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-FAILED::CK-STATUS,CK-FAILED,CK-STATUS,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-RESTARTED::CK-STATUS,CK-RESTARTED,CK-STATUS,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-PHASE-INIT::CK-PHASE,CK-PHASE-INIT,CK-PHASE,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-PHASE-READ::CK-PHASE,CK-PHASE-READ,CK-PHASE,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-PHASE-PROC::CK-PHASE,CK-PHASE-PROC,CK-PHASE,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-PHASE-UPDT::CK-PHASE,CK-PHASE-UPDT,CK-PHASE,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-PHASE-TERM::CK-PHASE,CK-PHASE-TERM,CK-PHASE,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-MODE-NORMAL::CK-RESTART-MODE,CK-MODE-NORMAL,CK-RESTART-MODE,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-MODE-RESTART::CK-RESTART-MODE,CK-MODE-RESTART,CK-RESTART-MODE,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::CK-MODE-RECOVER::CK-RESTART-MODE,CK-MODE-RECOVER,CK-RESTART-MODE,REC-CKPRST-CHECKPOINT-CONTROL,[],CKPRST,1
COND::HIST-TYPE-PORT::HIST-RECORD-TYPE,HIST-TYPE-PORT,HIST-RECORD-TYPE,REC-HISTREC-HISTORY-RECORD,[],,1
COND::HIST-TYPE-POS::HIST-RECORD-TYPE,HIST-TYPE-POS,HIST-RECORD-TYPE,REC-HISTREC-HISTORY-RECORD,[],,1
COND::HIST-TYPE-TRN::HIST-RECORD-TYPE,HIST-TYPE-TRN,HIST-RECORD-TYPE,REC-HISTREC-HISTORY-RECORD,[],,1
COND::HIST-ACTION-ADD::HIST-ACTION-CODE,HIST-ACTION-ADD,HIST-ACTION-CODE,REC-HISTREC-HISTORY-RECORD,[],,1
COND::HIST-ACTION-CHG::HIST-ACTION-CODE,HIST-ACTION-CHG,HIST-ACTION-CODE,REC-HISTREC-HISTORY-RECORD,[],,1
COND::HIST-ACTION-DEL::HIST-ACTION-CODE,HIST-ACTION-DEL,HIST-ACTION-CODE,REC-HISTREC-HISTORY-RECORD,[],,1
COND::PORT-INDIVIDUAL::PORT-CLIENT-TYPE,PORT-INDIVIDUAL,PORT-CLIENT-TYPE,REC-PORTFLIO-PORT-RECORD,[],PORTTEST,1
COND::PORT-CORPORATE::PORT-CLIENT-TYPE,PORT-CORPORATE,PORT-CLIENT-TYPE,REC-PORTFLIO-PORT-RECORD,[],PORTTEST,1
COND::PORT-TRUST::PORT-CLIENT-TYPE,PORT-TRUST,PORT-CLIENT-TYPE,REC-PORTFLIO-PORT-RECORD,[],PORTTEST,1
COND::PORT-ACTIVE::PORT-STATUS,PORT-ACTIVE,PORT-STATUS,REC-PORTFLIO-PORT-RECORD,[],PORTTEST,1
COND::PORT-CLOSED::PORT-STATUS,PORT-CLOSED,PORT-STATUS,REC-PORTFLIO-PORT-RECORD,[],PORTTEST,1
COND::PORT-SUSPENDED::PORT-STATUS,PORT-SUSPENDED,PORT-STATUS,REC-PORTFLIO-PORT-RECORD,[],PORTTEST,1
COND::POS-STATUS-ACTIVE::POS-STATUS,POS-STATUS-ACTIVE,POS-STATUS,REC-POSREC-POSITION-RECORD,[],INQPORT,1
COND::POS-STATUS-CLOSED::POS-STATUS,POS-STATUS-CLOSED,POS-STATUS,REC-POSREC-POSITION-RECORD,[],INQPORT,1
COND::POS-STATUS-PEND::POS-STATUS,POS-STATUS-PEND,POS-STATUS,REC-POSREC-POSITION-RECORD,[],INQPORT,1
