copybook_id,path,total_fields,total_bytes,has_redefines,has_occurs,used_by_count
AUDITLOG,src/copybook/common/AUDITLOG.cpy,8,0,False,False,1
BCHCON,src/copybook/batch/BCHCON.cpy,8,0,False,False,1
BCHCTL,src/copybook/batch/BCHCTL.cpy,4,0,False,False,5
CKPRST,src/copybook/batch/CKPRST.cpy,7,0,False,False,1
COMMON,src/copybook/common/COMMON.cpy,30,0,False,False,0
ERRHAND,src/copybook/common/ERRHAND.cpy,23,0,False,False,11
HISTREC,src/copybook/common/HISTREC.cpy,4,0,False,False,0
PORTFLIO,src/copybook/common/PORTFLIO.cpy,6,0,False,False,1
PORTVAL,src/copybook/common/PORTVAL.cpy,16,0,False,False,1
POSREC,src/copybook/common/POSREC.cpy,4,0,False,False,1
RETHND,src/copybook/common/RETHND.cpy,13,0,False,False,1
RTNCODE,src/copybook/common/RTNCODE.cpy,7,0,False,False,1
TRNREC,src/copybook/common/TRNREC.cpy,4,0,False,False,0
DBPROC,src/copybook/db2/DBPROC.cpy,5,0,False,False,3
DBTBLS,src/copybook/db2/DBTBLS.cpy,28,0,False,False,1
SQLCA,src/copybook/db2/SQLCA.cpy,7,0,False,False,5
DB2REQ,src/copybook/online/DB2REQ.cpy,4,0,False,False,1
ERRHND,src/copybook/online/ERRHND.cpy,9,0,False,False,0
INQCOM,src/copybook/online/INQCOM.cpy,4,0,False,False,3
PRCSEQ,src/copybook/batch/PRCSEQ.cpy,9,0,False,False,0
