field_id,record_id,field_name,qualified_name,level,normalized_type,length,decimal_places,signed,storage_type,pic_raw,is_filler,is_condition,occurs_max,shared_level,source_line
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-TIMESTAMP,REC-AUDITLOG-AUDIT-RECORD,AUD-TIMESTAMP,AUDIT-RECORD.AUD-HEADER.AUD-TIMESTAMP,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,9
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-SYSTEM-ID,REC-AUDITLOG-AUDIT-RECORD,AUD-SYSTEM-ID,AUDIT-RECORD.AUD-HEADER.AUD-SYSTEM-ID,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,10
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-USER-ID,REC-AUDITLOG-AUDIT-RECORD,AUD-USER-ID,AUDIT-RECORD.AUD-HEADER.AUD-USER-ID,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,11
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-PROGRAM,REC-AUDITLOG-AUDIT-RECORD,AUD-PROGRAM,AUDIT-RECORD.AUD-HEADER.AUD-PROGRAM,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,12
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-TERMINAL,REC-AUDITLOG-AUDIT-RECORD,AUD-TERMINAL,AUDIT-RECORD.AUD-HEADER.AUD-TERMINAL,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,13
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-TRANSACTION,REC-AUDITLOG-AUDIT-RECORD,AUD-TRANSACTION,AUDIT-RECORD.AUD-TYPE.AUD-TRANSACTION,88,CONDITION,0,0,False,N/A,,False,True,,local,15
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-USER-ACTION,REC-AUDITLOG-AUDIT-RECORD,AUD-USER-ACTION,AUDIT-RECORD.AUD-TYPE.AUD-USER-ACTION,88,CONDITION,0,0,False,N/A,,False,True,,local,16
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-SYSTEM-EVENT,REC-AUDITLOG-AUDIT-RECORD,AUD-SYSTEM-EVENT,AUDIT-RECORD.AUD-TYPE.AUD-SYSTEM-EVENT,88,CONDITION,0,0,False,N/A,,False,True,,local,17
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-CREATE,REC-AUDITLOG-AUDIT-RECORD,AUD-CREATE,AUDIT-RECORD.AUD-ACTION.AUD-CREATE,88,CONDITION,0,0,False,N/A,,False,True,,local,19
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-UPDATE,REC-AUDITLOG-AUDIT-RECORD,AUD-UPDATE,AUDIT-RECORD.AUD-ACTION.AUD-UPDATE,88,CONDITION,0,0,False,N/A,,False,True,,local,20
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-DELETE,REC-AUDITLOG-AUDIT-RECORD,AUD-DELETE,AUDIT-RECORD.AUD-ACTION.AUD-DELETE,88,CONDITION,0,0,False,N/A,,False,True,,local,21
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-INQUIRE,REC-AUDITLOG-AUDIT-RECORD,AUD-INQUIRE,AUDIT-RECORD.AUD-ACTION.AUD-INQUIRE,88,CONDITION,0,0,False,N/A,,False,True,,local,22
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-LOGIN,REC-AUDITLOG-AUDIT-RECORD,AUD-LOGIN,AUDIT-RECORD.AUD-ACTION.AUD-LOGIN,88,CONDITION,0,0,False,N/A,,False,True,,local,23
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-LOGOUT,REC-AUDITLOG-AUDIT-RECORD,AUD-LOGOUT,AUDIT-RECORD.AUD-ACTION.AUD-LOGOUT,88,CONDITION,0,0,False,N/A,,False,True,,local,24
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-STARTUP,REC-AUDITLOG-AUDIT-RECORD,AUD-STARTUP,AUDIT-RECORD.AUD-ACTION.AUD-STARTUP,88,CONDITION,0,0,False,N/A,,False,True,,local,25
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-SHUTDOWN,REC-AUDITLOG-AUDIT-RECORD,AUD-SHUTDOWN,AUDIT-RECORD.AUD-ACTION.AUD-SHUTDOWN,88,CONDITION,0,0,False,N/A,,False,True,,local,26
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-SUCCESS,REC-AUDITLOG-AUDIT-RECORD,AUD-SUCCESS,AUDIT-RECORD.AUD-STATUS.AUD-SUCCESS,88,CONDITION,0,0,False,N/A,,False,True,,local,28
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-FAILURE,REC-AUDITLOG-AUDIT-RECORD,AUD-FAILURE,AUDIT-RECORD.AUD-STATUS.AUD-FAILURE,88,CONDITION,0,0,False,N/A,,False,True,,local,29
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-WARNING,REC-AUDITLOG-AUDIT-RECORD,AUD-WARNING,AUDIT-RECORD.AUD-STATUS.AUD-WARNING,88,CONDITION,0,0,False,N/A,,False,True,,local,30
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-PORTFOLIO-ID,REC-AUDITLOG-AUDIT-RECORD,AUD-PORTFOLIO-ID,AUDIT-RECORD.AUD-KEY-INFO.AUD-PORTFOLIO-ID,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,32
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-ACCOUNT-NO,REC-AUDITLOG-AUDIT-RECORD,AUD-ACCOUNT-NO,AUDIT-RECORD.AUD-KEY-INFO.AUD-ACCOUNT-NO,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,33
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-BEFORE-IMAGE,REC-AUDITLOG-AUDIT-RECORD,AUD-BEFORE-IMAGE,AUDIT-RECORD.AUD-BEFORE-IMAGE,5,STRING,1,0,False,DISPLAY,X(,False,False,,local,34
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-AFTER-IMAGE,REC-AUDITLOG-AUDIT-RECORD,AUD-AFTER-IMAGE,AUDIT-RECORD.AUD-AFTER-IMAGE,5,STRING,1,0,False,DISPLAY,X(,False,False,,local,35
FLD-REC-AUDITLOG-AUDIT-RECORD-AUD-MESSAGE,REC-AUDITLOG-AUDIT-RECORD,AUD-MESSAGE,AUDIT-RECORD.AUD-MESSAGE,5,STRING,1,0,False,DISPLAY,X(,False,False,,local,36
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-STAT-READY,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-STAT-READY,BATCH-CONTROL-CONSTANTS.BCT-STAT-VALUES.BCT-STAT-READY,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,9
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-STAT-ACTIVE,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-STAT-ACTIVE,BATCH-CONTROL-CONSTANTS.BCT-STAT-VALUES.BCT-STAT-ACTIVE,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,10
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-STAT-WAITING,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-STAT-WAITING,BATCH-CONTROL-CONSTANTS.BCT-STAT-VALUES.BCT-STAT-WAITING,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,11
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-STAT-DONE,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-STAT-DONE,BATCH-CONTROL-CONSTANTS.BCT-STAT-VALUES.BCT-STAT-DONE,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,12
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-STAT-ERROR,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-STAT-ERROR,BATCH-CONTROL-CONSTANTS.BCT-STAT-VALUES.BCT-STAT-ERROR,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,13
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-RC-SUCCESS,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-RC-SUCCESS,BATCH-CONTROL-CONSTANTS.BCT-RC-THRESHOLDS.BCT-RC-SUCCESS,10,SIGNED_INTEGER,1,0,True,DISPLAY,S9(,False,False,,local,17
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-RC-WARNING,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-RC-WARNING,BATCH-CONTROL-CONSTANTS.BCT-RC-THRESHOLDS.BCT-RC-WARNING,10,SIGNED_INTEGER,1,0,True,DISPLAY,S9(,False,False,,local,18
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-RC-ERROR,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-RC-ERROR,BATCH-CONTROL-CONSTANTS.BCT-RC-THRESHOLDS.BCT-RC-ERROR,10,SIGNED_INTEGER,1,0,True,DISPLAY,S9(,False,False,,local,19
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-RC-SEVERE,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-RC-SEVERE,BATCH-CONTROL-CONSTANTS.BCT-RC-THRESHOLDS.BCT-RC-SEVERE,10,SIGNED_INTEGER,1,0,True,DISPLAY,S9(,False,False,,local,20
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-RC-CRITICAL,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-RC-CRITICAL,BATCH-CONTROL-CONSTANTS.BCT-RC-THRESHOLDS.BCT-RC-CRITICAL,10,SIGNED_INTEGER,1,0,True,DISPLAY,S9(,False,False,,local,21
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-MAX-PREREQ,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-MAX-PREREQ,BATCH-CONTROL-CONSTANTS.BCT-CTRL-VALUES.BCT-MAX-PREREQ,10,INTEGER,1,0,False,DISPLAY,9(,False,False,,local,25
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-MAX-RESTARTS,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-MAX-RESTARTS,BATCH-CONTROL-CONSTANTS.BCT-CTRL-VALUES.BCT-MAX-RESTARTS,10,INTEGER,1,0,False,DISPLAY,9(,False,False,,local,26
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-WAIT-INTERVAL,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-WAIT-INTERVAL,BATCH-CONTROL-CONSTANTS.BCT-CTRL-VALUES.BCT-WAIT-INTERVAL,10,INTEGER,1,0,False,DISPLAY,9(,False,False,,local,27
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-MAX-WAIT-TIME,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-MAX-WAIT-TIME,BATCH-CONTROL-CONSTANTS.BCT-CTRL-VALUES.BCT-MAX-WAIT-TIME,10,INTEGER,1,0,False,DISPLAY,9(,False,False,,local,28
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-TYPE-INITIAL,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-TYPE-INITIAL,BATCH-CONTROL-CONSTANTS.BCT-PROC-TYPES.BCT-TYPE-INITIAL,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,32
FLD-REC-BCHCON-BATCH-CONTROL-CONSTANTS-BCT-TYPE-UPDATE,REC-BCHCON-BATCH-CONTROL-CONSTANTS,BCT-TYPE-UPDATE,BATCH-CONTROL-CONSTANTS.BCT-PROC-TYPES.BCT-TYPE-UPDATE,10,STRING,1,0,False,DISPLAY,X(,False,False,,local,33
