job_name,path,step_count,cobol_programs,datasets
RPTAUD00,src/jcl/batch/RPTAUD.jcl,1,RPTAUD00,
RPTPOS00,src/jcl/batch/RPTPOS.jcl,1,RPTPOS00,
RPTSTA00,src/jcl/batch/RPTSTA.jcl,1,RPTSTA00,
RTNANA00,src/jcl/RTNANA.jcl,1,RTNANA00,
PORTADD,src/jcl/portfolio/PORTADD.jcl,1,PORTADD,
PORTDEF,src/jcl/portfolio/PORTDEF.jcl,1,,
PORTDEL,src/jcl/portfolio/PORTDEL.jcl,1,PORTDEL,
PORTREAD,src/jcl/portfolio/PORTREAD.jcl,1,PORTREAD,
PORTTEST,src/jcl/portfolio/PORTTEST.jcl,1,PORTTEST,
PORTUPDT,src/jcl/portfolio/PORTUPDT.jcl,1,PORTUPDT,
TSTGEN00,src/jcl/test/TSTGEN.jcl,1,TSTGEN00,
TSTVAL00,src/jcl/test/TSTVAL.jcl,1,TSTVAL00,
UTLMNT00,src/jcl/utility/UTLMNT.jcl,1,UTLMNT00,
UTLMON00,src/jcl/utility/UTLMON.jcl,1,UTLMON00,
UTLVAL00,src/jcl/utility/UTLVAL.jcl,1,UTLVAL00,
