record_id,record_name,source_id,source_type,total_fields,total_bytes,has_redefines,has_occurs
REC-AUDITLOG-AUDIT-RECORD,AUDIT-RECORD,AUDITLOG,copybook,8,0,False,False
REC-BCHCON-BATCH-CONTROL-CONSTANTS,BATCH-CONTROL-CONSTANTS,BCHCON,copybook,8,0,False,False
REC-BCHCTL-BATCH-CONTROL-RECORD,BATCH-CONTROL-RECORD,BCHCTL,copybook,4,0,False,False
REC-CKPRST-CHECKPOINT-CONTROL,CHECKPOINT-CONTROL,CKPRST,copybook,5,0,False,False
REC-CKPRST-CHECKPOINT-RECORD,CHECKPOINT-RECORD,CKPRST,copybook,2,0,False,False
REC-COMMON-RETURN-CODES,RETURN-CODES,COMMON,copybook,5,0,False,False
REC-COMMON-STATUS-CODES,STATUS-CODES,COMMON,copybook,6,0,False,False
REC-COMMON-TRANSACTION-TYPES,TRANSACTION-TYPES,COMMON,copybook,4,0,False,False
REC-COMMON-COMMON-DATETIME,COMMON-DATETIME,COMMON,copybook,2,0,False,False
REC-COMMON-ERROR-HANDLING,ERROR-HANDLING,COMMON,copybook,4,0,False,False
REC-COMMON-AUDIT-FIELDS,AUDIT-FIELDS,COMMON,copybook,4,0,False,False
REC-COMMON-CURRENCY-CODES,CURRENCY-CODES,COMMON,copybook,5,0,False,False
REC-ERRHAND-ERR-CATEGORIES,ERR-CATEGORIES,ERRHAND,copybook,4,0,False,False
REC-ERRHAND-ERR-RETURN-CODES,ERR-RETURN-CODES,ERRHAND,copybook,5,0,False,False
REC-ERRHAND-ERR-MESSAGE,ERR-MESSAGE,ERRHAND,copybook,7,0,False,False
REC-ERRHAND-ERR-VSAM-STATUSES,ERR-VSAM-STATUSES,ERRHAND,copybook,4,0,False,False
REC-ERRHAND-ERR-VSAM-MSGS,ERR-VSAM-MSGS,ERRHAND,copybook,3,0,False,False
REC-HISTREC-HISTORY-RECORD,HISTORY-RECORD,HISTREC,copybook,4,0,False,False
REC-PORTFLIO-PORT-RECORD,PORT-RECORD,PORTFLIO,copybook,6,0,False,False
REC-PORTVAL-VAL-RETURN-CODES,VAL-RETURN-CODES,PORTVAL,copybook,5,0,False,False
REC-PORTVAL-VAL-ERROR-MESSAGES,VAL-ERROR-MESSAGES,PORTVAL,copybook,4,0,False,False
REC-PORTVAL-VAL-CONSTANTS,VAL-CONSTANTS,PORTVAL,copybook,3,0,False,False
REC-PORTVAL-VAL-WORK-AREAS,VAL-WORK-AREAS,PORTVAL,copybook,4,0,False,False
REC-POSREC-POSITION-RECORD,POSITION-RECORD,POSREC,copybook,4,0,False,False
REC-RETHND-RETURN-HANDLING,RETURN-HANDLING,RETHND,copybook,3,0,False,False
REC-RETHND-STD-ERROR-CODES,STD-ERROR-CODES,RETHND,copybook,10,0,False,False
REC-RTNCODE-RETURN-CODE-AREA,RETURN-CODE-AREA,RTNCODE,copybook,7,0,False,False
REC-TRNREC-TRANSACTION-RECORD,TRANSACTION-RECORD,TRNREC,copybook,4,0,False,False
REC-DBPROC-DB2-ERROR-HANDLING,DB2-ERROR-HANDLING,DBPROC,copybook,5,0,False,False
