:START_ID,edge_type,resolved:boolean,source_line:int,cics_type,:END_ID,:TYPE
DB2CMT,STATIC_CALL,true,165,,ERRPROC,CALLS
DB2CMT,STATIC_CALL,true,169,,DB2ERR,CALLS
DB2ERR,STATIC_CALL,true,199,,ERRPROC,CALLS
BCHCTL00,STATIC_CALL,true,114,,ERRPROC,CALLS
DB2STAT,STATIC_CALL,true,227,,ERRPROC,CALLS
UTLMON00,STATIC_CALL,false,186,,ILBOABN0,CALLS
HISTLD00,STATIC_CALL,true,228,,ERRPROC,CALLS
DB2CONN,STATIC_CALL,false,86,,DELAY,CALLS
DB2CONN,STATIC_CALL,true,153,,ERRPROC,CALLS
PORTMSTR,STATIC_CALL,true,262,,ERRPROC,CALLS
PORTMSTR,STATIC_CALL,true,287,,AUDPROC,CALLS
PORTTRAN,STATIC_CALL,true,294,,AUDPROC,CALLS
PORTTRAN,STATIC_CALL,true,316,,ERRPROC,CALLS
PRCSEQ00,STATIC_CALL,true,122,,ERRPROC,CALLS
RCVPRC00,STATIC_CALL,true,113,,ERRPROC,CALLS
INQONLN,CICS_LINK,true,102,LINK,INQPORT,CALLS
INQONLN,CICS_LINK,true,111,LINK,INQHIST,CALLS
INQONLN,CICS_LINK,true,126,LINK,ERRHNDL,CALLS
INQONLN,CICS_LINK,true,146,LINK,SECMGR,CALLS
