:START_ID,section,:END_ID,:TYPE
BCHCTL00,0000-MAIN,BCHCTL00::0000-MAIN,CONTAINS
BCHCTL00,1000-PROCESS-INITIALIZE,BCHCTL00::1000-PROCESS-INITIALIZE,CONTAINS
BCHCTL00,2000-CHECK-PREREQUISITES,BCHCTL00::2000-CHECK-PREREQUISITES,CONTAINS
BCHCTL00,3000-UPDATE-STATUS,BCHCTL00::3000-UPDATE-STATUS,CONTAINS
BCHCTL00,4000-PROCESS-TERMINATE,BCHCTL00::4000-PROCESS-TERMINATE,CONTAINS
BCHCTL00,9000-ERROR-ROUTINE,BCHCTL00::9000-ERROR-ROUTINE,CONTAINS
CKPRST,PROC-COMMIT-CHECKPOINT,CKPRST::PROC-COMMIT-CHECKPOINT,CONTAINS
CKPRST,PROC-INIT,CKPRST::PROC-INIT,CONTAINS
CKPRST,PROC-RESTART,CKPRST::PROC-RESTART,CONTAINS
CKPRST,PROC-TAKE-CHECKPOINT,CKPRST::PROC-TAKE-CHECKPOINT,CONTAINS
CKPRST,RETURN-STATUS,CKPRST::RETURN-STATUS,CONTAINS
HISTLD00,0000-MAIN,HISTLD00::0000-MAIN,CONTAINS
HISTLD00,1000-INITIALIZE,HISTLD00::1000-INITIALIZE,CONTAINS
HISTLD00,1100-OPEN-FILES,HISTLD00::1100-OPEN-FILES,CONTAINS
HISTLD00,1200-CONNECT-DB2,HISTLD00::1200-CONNECT-DB2,CONTAINS
HISTLD00,1300-INIT-CHECKPOINTS,HISTLD00::1300-INIT-CHECKPOINTS,CONTAINS
HISTLD00,2000-PROCESS,HISTLD00::2000-PROCESS,CONTAINS
HISTLD00,2100-READ-HISTORY,HISTLD00::2100-READ-HISTORY,CONTAINS
HISTLD00,2200-LOAD-TO-DB2,HISTLD00::2200-LOAD-TO-DB2,CONTAINS
HISTLD00,2300-CHECK-COMMIT,HISTLD00::2300-CHECK-COMMIT,CONTAINS
HISTLD00,2310-UPDATE-CHECKPOINT,HISTLD00::2310-UPDATE-CHECKPOINT,CONTAINS
HISTLD00,3000-TERMINATE,HISTLD00::3000-TERMINATE,CONTAINS
HISTLD00,3100-FINAL-COMMIT,HISTLD00::3100-FINAL-COMMIT,CONTAINS
HISTLD00,3200-CLOSE-FILES,HISTLD00::3200-CLOSE-FILES,CONTAINS
HISTLD00,3300-DISCONNECT-DB2,HISTLD00::3300-DISCONNECT-DB2,CONTAINS
HISTLD00,3400-DISPLAY-STATS,HISTLD00::3400-DISPLAY-STATS,CONTAINS
HISTLD00,9000-ERROR-ROUTINE,HISTLD00::9000-ERROR-ROUTINE,CONTAINS
PRCSEQ00,0000-MAIN,PRCSEQ00::0000-MAIN,CONTAINS
PRCSEQ00,1000-INITIALIZE-SEQUENCE,PRCSEQ00::1000-INITIALIZE-SEQUENCE,CONTAINS
PRCSEQ00,1100-OPEN-FILES,PRCSEQ00::1100-OPEN-FILES,CONTAINS
PRCSEQ00,1200-BUILD-SEQUENCE,PRCSEQ00::1200-BUILD-SEQUENCE,CONTAINS
PRCSEQ00,1210-ADD-TO-SEQUENCE,PRCSEQ00::1210-ADD-TO-SEQUENCE,CONTAINS
PRCSEQ00,1300-CREATE-CONTROL-RECORDS,PRCSEQ00::1300-CREATE-CONTROL-RECORDS,CONTAINS
PRCSEQ00,2000-GET-NEXT-PROCESS,PRCSEQ00::2000-GET-NEXT-PROCESS,CONTAINS
PRCSEQ00,2100-FIND-NEXT-READY,PRCSEQ00::2100-FIND-NEXT-READY,CONTAINS
PRCSEQ00,2200-CHECK-DEPENDENCIES,PRCSEQ00::2200-CHECK-DEPENDENCIES,CONTAINS
PRCSEQ00,2210-CHECK-DEP-STATUS,PRCSEQ00::2210-CHECK-DEP-STATUS,CONTAINS
PRCSEQ00,2300-UPDATE-PROCESS-STATUS,PRCSEQ00::2300-UPDATE-PROCESS-STATUS,CONTAINS
PRCSEQ00,3000-CHECK-STATUS,PRCSEQ00::3000-CHECK-STATUS,CONTAINS
PRCSEQ00,3100-READ-CONTROL-STATUS,PRCSEQ00::3100-READ-CONTROL-STATUS,CONTAINS
PRCSEQ00,3200-UPDATE-SEQUENCE-TABLE,PRCSEQ00::3200-UPDATE-SEQUENCE-TABLE,CONTAINS
PRCSEQ00,3300-CHECK-COMPLETION,PRCSEQ00::3300-CHECK-COMPLETION,CONTAINS
PRCSEQ00,4000-TERMINATE-SEQUENCE,PRCSEQ00::4000-TERMINATE-SEQUENCE,CONTAINS
PRCSEQ00,4100-CHECK-FINAL-STATUS,PRCSEQ00::4100-CHECK-FINAL-STATUS,CONTAINS
PRCSEQ00,4200-CLOSE-FILES,PRCSEQ00::4200-CLOSE-FILES,CONTAINS
PRCSEQ00,9000-ERROR-ROUTINE,PRCSEQ00::9000-ERROR-ROUTINE,CONTAINS
RCVPRC00,0000-MAIN,RCVPRC00::0000-MAIN,CONTAINS
RCVPRC00,1000-INITIALIZE-RECOVERY,RCVPRC00::1000-INITIALIZE-RECOVERY,CONTAINS
RCVPRC00,1100-OPEN-FILES,RCVPRC00::1100-OPEN-FILES,CONTAINS
RCVPRC00,1200-VALIDATE-REQUEST,RCVPRC00::1200-VALIDATE-REQUEST,CONTAINS
RCVPRC00,1300-SET-RECOVERY-MODE,RCVPRC00::1300-SET-RECOVERY-MODE,CONTAINS
RCVPRC00,2000-PROCESS-RECOVERY,RCVPRC00::2000-PROCESS-RECOVERY,CONTAINS
RCVPRC00,2100-RECOVER-PROCESS,RCVPRC00::2100-RECOVER-PROCESS,CONTAINS
RCVPRC00,2110-DETERMINE-ACTION,RCVPRC00::2110-DETERMINE-ACTION,CONTAINS
RCVPRC00,2120-EXECUTE-RECOVERY,RCVPRC00::2120-EXECUTE-RECOVERY,CONTAINS
RCVPRC00,2121-RESTART-PROCESS,RCVPRC00::2121-RESTART-PROCESS,CONTAINS
RCVPRC00,2122-BYPASS-PROCESS,RCVPRC00::2122-BYPASS-PROCESS,CONTAINS
RCVPRC00,2123-TERMINATE-PROCESS,RCVPRC00::2123-TERMINATE-PROCESS,CONTAINS
RCVPRC00,2200-RECOVER-SEQUENCE,RCVPRC00::2200-RECOVER-SEQUENCE,CONTAINS
RCVPRC00,2300-RECOVER-ALL,RCVPRC00::2300-RECOVER-ALL,CONTAINS
RCVPRC00,3000-TERMINATE-RECOVERY,RCVPRC00::3000-TERMINATE-RECOVERY,CONTAINS
RCVPRC00,3100-UPDATE-FINAL-STATUS,RCVPRC00::3100-UPDATE-FINAL-STATUS,CONTAINS
RCVPRC00,3200-CLOSE-FILES,RCVPRC00::3200-CLOSE-FILES,CONTAINS
RCVPRC00,9000-ERROR-ROUTINE,RCVPRC00::9000-ERROR-ROUTINE,CONTAINS
RPTAUD00,0000-MAIN,RPTAUD00::0000-MAIN,CONTAINS
RPTAUD00,1000-INITIALIZE,RPTAUD00::1000-INITIALIZE,CONTAINS
RPTAUD00,1100-OPEN-FILES,RPTAUD00::1100-OPEN-FILES,CONTAINS
RPTAUD00,1200-WRITE-HEADERS,RPTAUD00::1200-WRITE-HEADERS,CONTAINS
RPTAUD00,2000-PROCESS-REPORT,RPTAUD00::2000-PROCESS-REPORT,CONTAINS
RPTAUD00,2100-PROCESS-AUDIT-TRAIL,RPTAUD00::2100-PROCESS-AUDIT-TRAIL,CONTAINS
RPTAUD00,2200-PROCESS-ERROR-LOG,RPTAUD00::2200-PROCESS-ERROR-LOG,CONTAINS
RPTAUD00,2300-WRITE-SUMMARY,RPTAUD00::2300-WRITE-SUMMARY,CONTAINS
RPTAUD00,3000-CLEANUP,RPTAUD00::3000-CLEANUP,CONTAINS
RPTAUD00,9999-ERROR-HANDLER,RPTAUD00::9999-ERROR-HANDLER,CONTAINS
RPTAUD00,REPORT-FILE,RPTAUD00::REPORT-FILE,CONTAINS
RPTPOS00,0000-MAIN,RPTPOS00::0000-MAIN,CONTAINS
RPTPOS00,1000-INITIALIZE,RPTPOS00::1000-INITIALIZE,CONTAINS
RPTPOS00,1100-OPEN-FILES,RPTPOS00::1100-OPEN-FILES,CONTAINS
RPTPOS00,1200-WRITE-HEADERS,RPTPOS00::1200-WRITE-HEADERS,CONTAINS
RPTPOS00,2000-PROCESS-REPORT,RPTPOS00::2000-PROCESS-REPORT,CONTAINS
RPTPOS00,2100-READ-POSITIONS,RPTPOS00::2100-READ-POSITIONS,CONTAINS
RPTPOS00,2110-FORMAT-POSITION,RPTPOS00::2110-FORMAT-POSITION,CONTAINS
RPTPOS00,2200-PROCESS-TRANSACTIONS,RPTPOS00::2200-PROCESS-TRANSACTIONS,CONTAINS
RPTPOS00,2300-WRITE-SUMMARY,RPTPOS00::2300-WRITE-SUMMARY,CONTAINS
RPTPOS00,3000-CLEANUP,RPTPOS00::3000-CLEANUP,CONTAINS
RPTPOS00,9999-ERROR-HANDLER,RPTPOS00::9999-ERROR-HANDLER,CONTAINS
RPTPOS00,END-PERFORM,RPTPOS00::END-PERFORM,CONTAINS
RPTPOS00,REPORT-FILE,RPTPOS00::REPORT-FILE,CONTAINS
RPTSTA00,0000-MAIN,RPTSTA00::0000-MAIN,CONTAINS
RPTSTA00,1000-INITIALIZE,RPTSTA00::1000-INITIALIZE,CONTAINS
RPTSTA00,1100-OPEN-FILES,RPTSTA00::1100-OPEN-FILES,CONTAINS
RPTSTA00,1200-WRITE-HEADERS,RPTSTA00::1200-WRITE-HEADERS,CONTAINS
RPTSTA00,1300-INIT-ACCUMULATORS,RPTSTA00::1300-INIT-ACCUMULATORS,CONTAINS
RPTSTA00,2000-PROCESS-REPORT,RPTSTA00::2000-PROCESS-REPORT,CONTAINS
RPTSTA00,2100-PROCESS-DB2-STATS,RPTSTA00::2100-PROCESS-DB2-STATS,CONTAINS
RPTSTA00,2200-PROCESS-BATCH-STATS,RPTSTA00::2200-PROCESS-BATCH-STATS,CONTAINS
RPTSTA00,2300-CALCULATE-METRICS,RPTSTA00::2300-CALCULATE-METRICS,CONTAINS
RPTSTA00,2400-WRITE-REPORT,RPTSTA00::2400-WRITE-REPORT,CONTAINS
RPTSTA00,3000-CLEANUP,RPTSTA00::3000-CLEANUP,CONTAINS
RPTSTA00,9999-ERROR-HANDLER,RPTSTA00::9999-ERROR-HANDLER,CONTAINS
RPTSTA00,END-PERFORM,RPTSTA00::END-PERFORM,CONTAINS
RPTSTA00,REPORT-FILE,RPTSTA00::REPORT-FILE,CONTAINS
RTNANA00,END-EXEC,RTNANA00::END-EXEC,CONTAINS
RTNANA00,P100-EXIT,RTNANA00::P100-EXIT,CONTAINS
RTNANA00,P100-INIT-PROGRAM,RTNANA00::P100-INIT-PROGRAM,CONTAINS
RTNANA00,P200-EXIT,RTNANA00::P200-EXIT,CONTAINS
RTNANA00,P200-PROCESS-ANALYSIS,RTNANA00::P200-PROCESS-ANALYSIS,CONTAINS
RTNANA00,P210-EXIT,RTNANA00::P210-EXIT,CONTAINS
RTNANA00,P210-WRITE-HEADERS,RTNANA00::P210-WRITE-HEADERS,CONTAINS
RTNANA00,P220-EXIT,RTNANA00::P220-EXIT,CONTAINS
RTNANA00,P220-PROCESS-DETAIL,RTNANA00::P220-PROCESS-DETAIL,CONTAINS
RTNANA00,P300-EXIT,RTNANA00::P300-EXIT,CONTAINS
RTNANA00,P300-GENERATE-REPORT,RTNANA00::P300-GENERATE-REPORT,CONTAINS
RTNANA00,P900-CLOSE-FILES,RTNANA00::P900-CLOSE-FILES,CONTAINS
RTNANA00,P900-EXIT,RTNANA00::P900-EXIT,CONTAINS
RTNCDE00,END-EXEC,RTNCDE00::END-EXEC,CONTAINS
RTNCDE00,P100-EXIT,RTNCDE00::P100-EXIT,CONTAINS
RTNCDE00,P100-INIT-RETURN-CODES,RTNCDE00::P100-INIT-RETURN-CODES,CONTAINS
RTNCDE00,P200-EXIT,RTNCDE00::P200-EXIT,CONTAINS
RTNCDE00,P200-SET-RETURN-CODE,RTNCDE00::P200-SET-RETURN-CODE,CONTAINS
RTNCDE00,P300-EXIT,RTNCDE00::P300-EXIT,CONTAINS
RTNCDE00,P300-GET-RETURN-CODE,RTNCDE00::P300-GET-RETURN-CODE,CONTAINS
RTNCDE00,P400-EXIT,RTNCDE00::P400-EXIT,CONTAINS
RTNCDE00,P400-LOG-RETURN-CODE,RTNCDE00::P400-LOG-RETURN-CODE,CONTAINS
RTNCDE00,P500-ANALYZE-CODES,RTNCDE00::P500-ANALYZE-CODES,CONTAINS
RTNCDE00,P500-EXIT,RTNCDE00::P500-EXIT,CONTAINS
AUDPROC,0000-MAIN,AUDPROC::0000-MAIN,CONTAINS
AUDPROC,1000-INITIALIZE,AUDPROC::1000-INITIALIZE,CONTAINS
AUDPROC,2000-PROCESS-AUDIT,AUDPROC::2000-PROCESS-AUDIT,CONTAINS
AUDPROC,3000-TERMINATE,AUDPROC::3000-TERMINATE,CONTAINS
DB2CMT,0000-MAIN,DB2CMT::0000-MAIN,CONTAINS
DB2CMT,1000-INITIALIZE,DB2CMT::1000-INITIALIZE,CONTAINS
DB2CMT,2000-COMMIT,DB2CMT::2000-COMMIT,CONTAINS
DB2CMT,2100-ISSUE-COMMIT,DB2CMT::2100-ISSUE-COMMIT,CONTAINS
DB2CMT,3000-ROLLBACK,DB2CMT::3000-ROLLBACK,CONTAINS
DB2CMT,4000-SAVEPOINT,DB2CMT::4000-SAVEPOINT,CONTAINS
DB2CMT,5000-RESTORE,DB2CMT::5000-RESTORE,CONTAINS
DB2CMT,6000-STATISTICS,DB2CMT::6000-STATISTICS,CONTAINS
DB2CMT,9000-ERROR-ROUTINE,DB2CMT::9000-ERROR-ROUTINE,CONTAINS
DB2CMT,9100-LOG-ERROR,DB2CMT::9100-LOG-ERROR,CONTAINS
DB2CONN,0000-MAIN,DB2CONN::0000-MAIN,CONTAINS
DB2CONN,1000-CONNECT,DB2CONN::1000-CONNECT,CONTAINS
DB2CONN,1100-HANDLE-CONN-ERROR,DB2CONN::1100-HANDLE-CONN-ERROR,CONTAINS
DB2CONN,2000-DISCONNECT,DB2CONN::2000-DISCONNECT,CONTAINS
DB2CONN,3000-CHECK-STATUS,DB2CONN::3000-CHECK-STATUS,CONTAINS
DB2CONN,9000-ERROR-ROUTINE,DB2CONN::9000-ERROR-ROUTINE,CONTAINS
DB2ERR,0000-MAIN,DB2ERR::0000-MAIN,CONTAINS
DB2ERR,1000-LOG-ERROR,DB2ERR::1000-LOG-ERROR,CONTAINS
DB2ERR,1100-SET-SEVERITY,DB2ERR::1100-SET-SEVERITY,CONTAINS
DB2ERR,1200-INSERT-ERROR,DB2ERR::1200-INSERT-ERROR,CONTAINS
