:START_ID,source_line:int,resolved:boolean,:END_ID,:TYPE
BCHCTL00,27,true,BCHCON,COPIES
BCHCTL00,28,true,ERRHAND,COPIES
CKPRST,15,true,CKPRST,COPIES
CKPRST,22,true,RETHND,COPIES
DB2CMT,18,true,SQLCA,COPIES
DB2CMT,19,true,DBPROC,COPIES
DB2CMT,20,true,ERRHAND,COPIES
DB2CONN,19,true,SQLCA,COPIES
DB2CONN,20,true,DBPROC,COPIES
DB2CONN,21,true,ERRHAND,COPIES
DB2ERR,11,true,DBTBLS,COPIES
DB2ERR,15,true,SQLCA,COPIES
DB2ERR,16,true,DBPROC,COPIES
DB2ERR,17,true,ERRHAND,COPIES
DB2ONLN,18,true,ERRHND,COPIES
DB2RECV,18,true,ERRHND,COPIES
DB2RECV,20,true,DB2REQ,COPIES
ERRHNDL,11,true,ERRHND,COPIES
INQHIST,14,true,INQCOM,COPIES
INQHIST,17,true,SQLCA,COPIES
INQONLN,14,true,INQCOM,COPIES
INQONLN,18,true,ERRHND,COPIES
INQPORT,13,true,INQCOM,COPIES
INQPORT,16,true,POSREC,COPIES
PORTTEST,15,true,PORTFLIO,COPIES
PORTTEST,18,true,ERRHAND,COPIES
PORTVALD,16,true,PORTVAL,COPIES
RTNCDE00,23,true,RTNCODE,COPIES
AUDPROC,19,true,AUDITLOG,COPIES
SECMGR,24,true,ERRHND,COPIES
