:START_ID,source_type,section,:END_ID,:TYPE
AUDITLOG,copybook,,REC-AUDITLOG-AUDIT-RECORD,DEFINES
BCHCON,copybook,,REC-BCHCON-BATCH-CONTROL-CONSTANTS,DEFINES
BCHCTL,copybook,,REC-BCHCTL-BATCH-CONTROL-RECORD,DEFINES
CKPRST,copybook,,REC-CKPRST-CHECKPOINT-CONTROL,DEFINES
CKPRST,copybook,,REC-CKPRST-CHECKPOINT-RECORD,DEFINES
COMMON,copybook,,REC-COMMON-RETURN-CODES,DEFINES
COMMON,copybook,,REC-COMMON-STATUS-CODES,DEFINES
COMMON,copybook,,REC-COMMON-TRANSACTION-TYPES,DEFINES
COMMON,copybook,,REC-COMMON-COMMON-DATETIME,DEFINES
COMMON,copybook,,REC-COMMON-ERROR-HANDLING,DEFINES
COMMON,copybook,,REC-COMMON-AUDIT-FIELDS,DEFINES
COMMON,copybook,,REC-COMMON-CURRENCY-CODES,DEFINES
ERRHAND,copybook,,REC-ERRHAND-ERR-CATEGORIES,DEFINES
ERRHAND,copybook,,REC-ERRHAND-ERR-RETURN-CODES,DEFINES
ERRHAND,copybook,,REC-ERRHAND-ERR-MESSAGE,DEFINES
ERRHAND,copybook,,REC-ERRHAND-ERR-VSAM-STATUSES,DEFINES
ERRHAND,copybook,,REC-ERRHAND-ERR-VSAM-MSGS,DEFINES
HISTREC,copybook,,REC-HISTREC-HISTORY-RECORD,DEFINES
PORTFLIO,copybook,,REC-PORTFLIO-PORT-RECORD,DEFINES
PORTVAL,copybook,,REC-PORTVAL-VAL-RETURN-CODES,DEFINES
PORTVAL,copybook,,REC-PORTVAL-VAL-ERROR-MESSAGES,DEFINES
PORTVAL,copybook,,REC-PORTVAL-VAL-CONSTANTS,DEFINES
PORTVAL,copybook,,REC-PORTVAL-VAL-WORK-AREAS,DEFINES
POSREC,copybook,,REC-POSREC-POSITION-RECORD,DEFINES
RETHND,copybook,,REC-RETHND-RETURN-HANDLING,DEFINES
RETHND,copybook,,REC-RETHND-STD-ERROR-CODES,DEFINES
RTNCODE,copybook,,REC-RTNCODE-RETURN-CODE-AREA,DEFINES
TRNREC,copybook,,REC-TRNREC-TRANSACTION-RECORD,DEFINES
DBPROC,copybook,,REC-DBPROC-DB2-ERROR-HANDLING,DEFINES
DBTBLS,copybook,,REC-DBTBLS-POSHIST-RECORD,DEFINES
DBTBLS,copybook,,REC-DBTBLS-ERRLOG-RECORD,DEFINES
SQLCA,copybook,,REC-SQLCA-SQL-STATUS-CODES,DEFINES
DB2REQ,copybook,,REC-DB2REQ-DB2-REQUEST-AREA,DEFINES
ERRHND,copybook,,REC-ERRHND-ERROR-HANDLING,DEFINES
INQCOM,copybook,,REC-INQCOM-INQCOM-AREA,DEFINES
PRCSEQ,copybook,,REC-PRCSEQ-PROCESS-SEQUENCE-RECORD,DEFINES
PRCSEQ,copybook,,REC-PRCSEQ-STANDARD-SEQUENCES,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-WS-FILE-STATUS,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-WS-BCT-STATUS,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-WS-WORK-AREAS,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-WS-CURRENT-TIME,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-WS-PREREQ-MET,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-PREREQS-SATISFIED,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-PREREQS-PENDING,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-WS-PROCESS-MODE,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-MODE-INITIALIZE,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-MODE-CHECK-PREREQ,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-MODE-UPDATE-STATUS,DEFINES
BCHCTL00,program_ws,WORKING-STORAGE,REC-BCHCTL00_WS-MODE-FINALIZE,DEFINES
CKPRST,program_ws,WORKING-STORAGE,REC-CKPRST_WS-WS-FILE-STATUS,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-FILE-STATUS,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-TH-STATUS,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-BCT-STATUS,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-COUNTERS,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-RECORDS-READ,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-RECORDS-WRITTEN,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-ERROR-COUNT,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-COMMIT-COUNT,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-COMMIT-THRESHOLD,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-SWITCHES,DEFINES
HISTLD00,program_ws,WORKING-STORAGE,REC-HISTLD00_WS-WS-END-OF-FILE-SW,DEFINES
