:START_ID,source_line:int,is_primary:boolean,condition_id,:END_ID,:TYPE
RULE-HANDLE-WS-FILE-STATUS-IS-00,,true,,AUDPROC::1000-INITIALIZE,ENFORCED_IN
RULE-HANDLE-WS-FILE-STATUS-IS-00,,true,,AUDPROC::2000-PROCESS-AUDIT,ENFORCED_IN
RULE-HANDLE-WS-FILE-STATUS-IS-00,,true,,PORTTEST::1000-INITIALIZE,ENFORCED_IN
RULE-HANDLE-WS-FILE-STATUS-IS-00,,true,,PORTTEST::2000-GENERATE-RECORDS,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,BCHCTL00::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,CKPRST::RETURN-STATUS,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,DB2CMT::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,DB2CONN::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,DB2ERR::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,DB2ERR::1100-SET-SEVERITY,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,DB2STAT::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,ERRHNDL::P400-DETERMINE-ACTION,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,INQONLN::END-EXEC,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTADD::2100-VALIDATE-AND-ADD,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTDEL::2100-PROCESS-DELETE,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTMSTR::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTMSTR::3000-READ-PORTFOLIO,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTTRAN::2120-CHECK-TRANSACTION-TYPE,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTTRAN::2200-UPDATE-POSITIONS,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTTRAN::2300-UPDATE-AUDIT-TRAIL,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTUPDT::2200-APPLY-UPDATE,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PORTVALD::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,PRCSEQ00::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,RCVPRC00::0000-MAIN,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,RCVPRC00::2000-PROCESS-RECOVERY,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,RCVPRC00::1200-VALIDATE-REQUEST,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,RCVPRC00::2120-EXECUTE-RECOVERY,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,RTNCDE00::P200-SET-RETURN-CODE,ENFORCED_IN
RULE-VALIDATE-VALUE-HAS-REQUIRED-VALUE,,true,,SECMGR::END-EXEC,ENFORCED_IN
