:START_ID,step_name,step_order:int,:END_ID,:TYPE
RPTAUD00,STEP01,1,RPTAUD00,EXECUTES
RPTPOS00,STEP01,1,RPTPOS00,EXECUTES
RPTSTA00,STEP01,1,RPTSTA00,EXECUTES
RTNANA00,STEP01,1,RTNANA00,EXECUTES
PORTADD,STEP1,1,PORTADD,EXECUTES
PORTDEL,STEP1,1,PORTDEL,EXECUTES
PORTREAD,STEP1,1,PORTREAD,EXECUTES
PORTTEST,STEP1,1,PORTTEST,EXECUTES
PORTUPDT,STEP1,1,PORTUPDT,EXECUTES
TSTGEN00,STEP01,1,TSTGEN00,EXECUTES
TSTVAL00,STEP01,1,TSTVAL00,EXECUTES
UTLMNT00,STEP01,1,UTLMNT00,EXECUTES
UTLMON00,STEP01,1,UTLMON00,EXECUTES
UTLVAL00,STEP01,1,UTLVAL00,EXECUTES
