:START_ID,relationship_type,:END_ID,:TYPE
RULE-HANDLE-SQLCODE-EQUALS-SPECIFIED-VALUE,SAME_FIELD,RULE-HANDLE-SQLCODE-MEETS-CRITERIA,RELATED_TO
RULE-ENFORCE-WS-RETRY-COUNT-EQUALS-SPECIFIED-VALUE,SAME_FIELD,RULE-ENFORCE-WS-RETRY-COUNT-HAS-REQUIRED-VALUE,RELATED_TO
RULE-HANDLE-DB2-RESPONSE-CODE-EQUALS-SPECIFIED-VALUE,SAME_FIELD,RULE-HANDLE-OF-EQUALS-SPECIFIED-VALUE,RELATED_TO
RULE-HANDLE-NORMAL-EQUALS-SPECIFIED-VALUE,SAME_FIELD,RULE-HANDLE-SEC-RESPONSE-CODE-EQUALS-SPECIFIED-VALUE,RELATED_TO
RULE-HANDLE-NORMAL-EQUALS-SPECIFIED-VALUE,SAME_FIELD,RULE-HANDLE-WS-RESPONSE-CODE-EQUALS-SPECIFIED-VALUE,RELATED_TO
RULE-VALIDATE-PORT-ID-IS-NOT-ZERO-OR-EMPTY,SAME_FIELD,RULE-VALIDATE-PORT-IS-PORT,RELATED_TO
RULE-VALIDATE-TRN-QUANTITY-HAS-REQUIRED-VALUE,SAME_FIELD,RULE-VALIDATE-ZERO-EQUALS-SPECIFIED-VALUE,RELATED_TO
RULE-VALIDATE-TRN-AMOUNT-MEETS-CRITERIA,SAME_FIELD,RULE-VALIDATE-TRN-PRICE-MEETS-CRITERIA,RELATED_TO
RULE-VALIDATE-TRN-AMOUNT-MEETS-CRITERIA,SAME_FIELD,RULE-VALIDATE-WS-ERROR-COUNT-HAS-REQUIRED-VALUE,RELATED_TO
RULE-VALIDATE-TRN-AMOUNT-MEETS-CRITERIA,SAME_FIELD,RULE-VALIDATE-ZERO-EQUALS-SPECIFIED-VALUE,RELATED_TO
RULE-VALIDATE-TRN-AMOUNT-MEETS-CRITERIA,SAME_FIELD,RULE-VALIDATE-ZERO-HAS-REQUIRED-VALUE,RELATED_TO
RULE-VALIDATE-TRN-AMOUNT-MEETS-CRITERIA,SAME_FIELD,RULE-VALIDATE-ZERO-IS-NOT-ZERO-OR-EMPTY,RELATED_TO
